t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
24,W2,193.0,0.0,172.0,1656.0,172.0,0.0,EOD,0,0.0,3.86,0.0,16.72,0.0,20.58
24,R1,0.0,56.0,0.0,388.0,139.0,0.0,EOD,139,83.0,0.0,28.0,0.0,0.0,28.0
24,R2,0.0,63.0,0.0,264.0,83.0,0.0,EOD,83,20.0,0.0,31.5,0.0,0.0,31.5
24,R3,0.0,220.0,0.0,1193.0,212.0,0.0,EOD,212,0.0,0.0,110.0,0.0,0.0,110.0
25,Supplier,0.0,0.0,378.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
25,W1,259.0,0.0,0.0,1049.0,222.0,419.0,EOD,0,0.0,5.18,0.0,17.22,730.0,752.4
25,W2,272.0,0.0,0.0,1193.0,212.0,463.0,EOD,0,0.0,5.44,0.0,17.12,350.0,372.56
25,R1,206.0,0.0,0.0,256.0,126.0,388.0,EOD,126,126.0,6.18,0.0,0.0,0.0,6.18
25,R2,135.0,0.0,0.0,280.0,66.0,264.0,EOD,66,66.0,4.05,0.0,0.0,0.0,4.05
25,R3,192.0,0.0,0.0,960.0,205.0,617.0,EOD,205,205.0,5.76,0.0,0.0,0.0,5.76
26,Supplier,0.0,0.0,384.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
26,W1,259.0,0.0,192.0,1477.0,192.0,0.0,EOD,0,0.0,5.18,0.0,16.92,0.0,22.1
26,W2,67.0,0.0,0.0,1193.0,205.0,0.0,EOD,0,0.0,1.34,0.0,17.05,350.0,368.39
26,R1,86.0,0.0,0.0,256.0,120.0,0.0,EOD,120,120.0,2.58,0.0,0.0,0.0,2.58
26,R2,64.0,0.0,0.0,280.0,71.0,0.0,EOD,71,71.0,1.92,0.0,0.0,0.0,1.92
26,R3,2.0,0.0,0.0,1165.0,190.0,0.0,EOD,190,190.0,0.06,0.0,0.0,0.0,0.06
27,Supplier,0.0,0.0,192.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
27,W1,466.0,0.0,137.0,1024.0,191.0,453.0,EOD,0,0.0,9.32,0.0,16.91,350.0,376.23
27,W2,67.0,0.0,190.0,1782.0,190.0,0.0,EOD,0,0.0,1.34,0.0,16.9,0.0,18.24
27,R1,186.0,0.0,0.0,246.0,156.0,256.0,EOD,156,156.0,5.58,0.0,0.0,0.0,5.58
27,R2,0.0,35.0,0.0,280.0,99.0,0.0,EOD,99,64.0,0.0,17.5,0.0,0.0,17.5
27,R3,345.0,0.0,0.0,589.0,233.0,576.0,EOD,233,233.0,10.35,0.0,0.0,0.0,10.35
28,Supplier,0.0,0.0,573.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
28,W1,230.0,0.0,156.0,1024.0,255.0,0.0,EOD,0,0.0,4.6000000000000005,0.0,17.55,380.0,402.15
28,W2,261.0,0.0,0.0,1165.0,233.0,617.0,EOD,0,0.0,5.22,0.0,17.33,600.0,622.55
28,R1,21.0,0.0,0.0,246.0,165.0,0.0,EOD,165,165.0,0.63,0.0,0.0,0.0,0.63
28,R2,147.0,0.0,0.0,236.0,98.0,280.0,EOD,98,98.0,4.41,0.0,0.0,0.0,4.41
28,R3,40.0,0.0,0.0,1012.0,305.0,0.0,EOD,305,305.0,1.2,0.0,0.0,0.0,1.2
29,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
29,W1,505.0,0.0,98.0,1066.0,263.0,596.0,EOD,0,0.0,10.1,0.0,17.63,350.0,377.73
29,W2,0.0,0.0,44.0,1588.0,305.0,0.0,EOD,0,0.0,0.0,0.0,18.05,350.0,368.05
29,R1,73.0,0.0,0.0,321.0,194.0,246.0,EOD,194,194.0,2.19,0.0,0.0,0.0,2.19
29,R2,70.0,0.0,0.0,236.0,77.0,0.0,EOD,77,77.0,2.1,0.0,0.0,0.0,2.1
29,R3,127.0,0.0,0.0,889.0,297.0,384.0,EOD,297,297.0,3.81,0.0,0.0,0.0,3.81
30,Supplier,0.0,0.0,568.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
30,W1,505.0,0.0,369.0,1066.0,271.0,0.0,EOD,0,0.0,10.1,0.0,17.71,0.0,27.810000000000002
30,W2,235.0,0.0,0.0,1012.0,297.0,576.0,EOD,0,0.0,4.7,0.0,17.97,350.0,372.67
30,R1,0.0,46.0,0.0,321.0,119.0,0.0,EOD,119,73.0,0.0,23.0,0.0,0.0,23.0
30,R2,0.0,0.0,0.0,236.0,70.0,0.0,EOD,70,70.0,0.0,0.0,0.0,0.0,0.0
30,R3,164.0,0.0,0.0,1025.0,168.0,205.0,EOD,168,168.0,4.92,0.0,0.0,0.0,4.92
31,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
31,W1,375.0,0.0,0.0,1172.0,189.0,428.0,EOD,0,0.0,7.5,0.0,16.89,730.0,754.39
31,W2,235.0,0.0,168.0,1614.0,168.0,0.0,EOD,0,0.0,4.7,0.0,16.68,0.0,21.38
31,R1,152.0,0.0,0.0,313.0,123.0,321.0,EOD,123,123.0,4.56,0.0,0.0,0.0,4.56
31,R2,153.0,0.0,0.0,245.0,83.0,236.0,EOD,83,83.0,4.59,0.0,0.0,0.0,4.59
31,R3,0.0,78.0,0.0,1025.0,242.0,0.0,EOD,242,164.0,0.0,39.0,0.0,0.0,39.0
32,Supplier,0.0,0.0,357.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
32,W1,375.0,0.0,206.0,1172.0,206.0,0.0,EOD,0,0.0,7.5,0.0,17.06,0.0,24.56
32,W2,0.0,0.0,175.0,1614.0,242.0,0.0,EOD,0,0.0,0.0,0.0,17.42,350.0,367.42
32,R1,25.0,0.0,0.0,313.0,127.0,0.0,EOD,127,127.0,0.75,0.0,0.0,0.0,0.75
32,R2,72.0,0.0,0.0,245.0,81.0,0.0,EOD,81,81.0,2.16,0.0,0.0,0.0,2.16
32,R3,137.0,0.0,0.0,837.0,208.0,423.0,EOD,208,208.0,4.109999999999999,0.0,0.0,0.0,4.109999999999999
